task_title,task_description,location,materials,constraints,categories,skills_required,primary_type,group_or_solo,special_elements,alex_horne_role,series,episode,task_id,weirdness_score,creativity_required_score,physical_demand_score,technical_difficulty_score,entertainment_value_score,time_pressure_score,preparation_possible_score,luck_factor_score,task_unique_id,show_title,standardized_location,location_category,standardized_task_type,standardized_group_solo,std_weirdness_score,std_creativity_required_score,std_physical_demand_score,std_technical_difficulty_score,std_entertainment_value_score,std_time_pressure_score,std_preparation_possible_score,std_luck_factor_score
Make the highest splash,"Contestants were instructed to create the highest splash possible using water and a paddling pool. They had 15 minutes to prepare and execute one attempt. Additionally, they had to predict who among them would win the task before starting.","Outdoor, in the garden of the Taskmaster house.","['A container of water (e.g., bucket)', 'A paddling pool or similar vessel for the splash', 'Ladder or other means of elevation (if contestants chose to use them)']","['15 minutes to prepare and execute', 'Only one attempt allowed', 'Contestants had to predict the winner beforehand for a chance to earn bonus points']","['Physical', 'Time-based', 'Competitive', 'Water-based']","['Physical skill (e.g., climbing or carrying water)', 'Creativity (thinking of methods to maximize splash height)', 'Understanding of physics (impact and water behavior)', 'Strategic thinking (predicting the winner for bonus points)']",Physical,solo,['Prediction of the winner added a strategic element.'],Task presenter and whistleblower to start the task.,4,4,113,5,6,7,4,8,7,2,3,4_4_113,Taskmaster UK,Garden,Outside House,Physical,Solo,8,9,7,4,8,5,3,2
Choreograph a dance to a ringtone,"Contestants were tasked with choreographing a dance for themselves and Alex Horne to perform to one of several specified ringtones. They had 30 minutes to prepare, and the goal was to create the most stylish dance.","The task took place in a studio with a green screen setup, allowing for visual effects during the performance.","['List of ringtones', 'Green screen']","['Time: 30 minutes to prepare the dance.', 'Collaboration: Each contestant had to work with Alex Horne as their dance partner.', 'Style: The dance had to be stylish, as judged by Greg Davies.']","['Creative', 'Performance-based', 'Time-based', 'Physical']","['Musical rhythm understanding', 'Dance and physical coordination', 'Creativity and artistic expression', 'Collaboration and teamwork', 'Confidence in presentation']",performance,solo,"['Incorporation of music and dance', 'Use of a green screen for visual enhancement']","Dance partner to the contestants, providing support and engaging in the choreography.",4,4,114,7,9,5,4,8,7,3,2,4_4_114,Taskmaster UK,Lab,Inside House,Performance-based,Mixed,8,9,6,5,8,7,4,2
Make the best toilet paper celebrity portrait,"Contestants had to create a recognizable portrait of a celebrity using only toilet paper. The portrait was to be laid out on a mat, which served as the canvas, and viewed from an overhead camera.",Lab at the Taskmaster house,"['toilet paper', 'mat']","['Only toilet paper could be used.', ""The portrait had to be of a celebrity of the contestant's choosing."", 'The overhead camera captured the final portrait.', 'They had 20 minutes to complete the task.']","['Art', 'Time-based', 'Creativity-focused', 'Humorous']","['Creativity', 'Artistic skill', 'Time management', 'Spatial awareness']",artistic,solo,"['artistic interpretation', 'creativity']","Alex acted as the facilitator and observer, providing the task instructions and overseeing the task without direct involvement.",4,4,115,8,9,2,5,9,7,3,2,4_4_115,Taskmaster UK,Lab,Inside House,Creative,Solo,8,9,3,4,8,7,3,2
Do the most incredible thing with this pommel horse.,Contestants were required to perform the most incredible feat they could imagine using a standard gymnastics pommel horse. They had access to various materials and props within the Taskmaster lab to assist with their task.,"The task took place in the Taskmaster house, specifically in the lab area.","['A standard gymnastics pommel horse.', 'Various costumes, props, and random items available in the Taskmaster lab.']","['The action had to involve the pommel horse.', 'Contestants had 10 minutes to complete their task.', 'The timer started when the contestant next blinked after reading the task.']","['Performance-based', 'Physical', 'Creative', 'Time-based']","['Creativity', 'Improvisation', 'Physical coordination', 'Time management', 'Problem-solving']",performance,solo,"[""May involve acting, improvisation, or storytelling, depending on the contestant's approach.""]","Alex Horne served as the task presenter and observer, providing instructions and timing the task.",4,4,116,7,9,5,4,8,8,2,3,4_4_116,Taskmaster UK,Lab,Inside House,Performance-based,Solo,8,9,7,6,8,5,4,3
Make the highest tower using these tubes.,"Contestants were tasked with building the tallest possible tower using a set of tubes within a limited time frame. The task was performed live in front of an audience, adding to the pressure and entertainment value.",Taskmaster studio,['Tubes'],"['Contestants had 100 seconds to build the tallest tower.', ""The tower's height was measured from its base to the top.""]","['Physical', 'Time-based', 'Problem-solving', 'Engineering']","['Quick thinking', 'Dexterity', 'Spatial awareness', 'Structural understanding']",Engineering,solo,[],"Alex acted as the task facilitator, explaining the task and measuring the results.",4,4,117,3,5,4,5,7,8,2,3,4_4_117,Taskmaster UK,Lab,Inside House,Engineering,Solo,6,7,5,4,8,7,3,2
The Cutest Thing,"Contestants were required to bring in an item that they personally considered to be the cutest thing. This was a prize task, meaning the items were judged by Greg Davies, and the winner of the episode would take home all the items.",Taskmaster Studio,[],"['The only rule was to bring what the contestant considered to be the cutest thing. Greg Davies judged the cuteness, awarding points from 1 to 5.']","['Personal Judgment', 'Presentation', 'Creativity', 'Prize Task']","[""Understanding of the Taskmaster's preferences"", 'Creativity in selection or presentation', 'Strategic thinking', 'Ability to predict appeal to the judge']",performance,solo,['Presentation and storytelling'],Alex Horne introduced the task and facilitated the presentation of the items.,4,5,118,3,6,1,1,7,1,9,4,4_5_118,Taskmaster UK,Studio,Studio/Stage,Creative,Solo,6,7,2,3,8,1,3,5
Slide as far as possible,"Contestants were instructed to slide as far as possible on a tarpaulin spread on the floor, using washing-up liquid and water to aid their slide. They had only one attempt to achieve the furthest slide.","The task took place in the Taskmaster house's living room, often referred to as 'the lab.'","['large blue tarpaulin', 'washing-up liquid', 'water', 'bowl', 'towels']","['Only one attempt was allowed.', 'Contestants could only slide; no running, jumping, or stepping during the slide.', 'The distance was measured from the starting point to where the contestant came to a stop.']","['Physical', 'Creative', 'Slapstick']","['Physical agility', 'Creativity in using materials', 'Willingness to commit fully', 'Basic understanding of friction and momentum']",Physical,Solo,['Involved physical comedy and improvisation.'],"Task setter and observer, providing instructions and measuring distances.",4,5,119,7,6,7,4,9,2,3,3,4_5_119,Taskmaster UK,Lab,Inside House,Physical,Solo,8,7,6,4,9,5,3,2
Don the diving gear while maintaining eye contact and small talk,"Contestants were required to put on diving gear, including a wetsuit, flippers, facemask, and snorkel, while maintaining constant eye contact and making small talk with a Swedish person on a video call.","The task took place in the contestants' own homes, utilizing a laptop for the video call.","['Laptop', 'Wetsuit', 'Flippers', 'Facemask', 'Snorkel']","['Maintain constant eye contact with the person on the screen', 'Cannot move the laptop', 'Penalty of five seconds added for each break in eye contact']","['Physical', 'Performance-based', 'Time-based', 'Communication', 'Humor']","['Multi-tasking', 'Communication skills', 'Physical coordination', 'Quick thinking', 'Social interaction']",Performance-based,Solo,['Involved acting and improvisational small talk'],"Alex served as the task supervisor, ensuring rules were followed and eye contact was maintained.",4,5,120,8,6,5,4,9,7,3,2,4_5_120,Taskmaster UK,Remote/Online,Other Locations,Performance-based,Solo,8,7,6,5,9,4,3,2
Do Incompatible Things with the Bathtub,"Contestants were given different, incompatible objectives involving a bathtub. The task was designed to create conflict and test how contestants handle competing interests. Each contestant had to perform their task without revealing their specific instructions to others.",The task took place in the bathroom of the Taskmaster house.,"['bathtub', 'cling film for sealing the tub', 'access to water for filling it', 'surrounding area for finding items to place in the tub']","['Each contestant had to keep their specific task secret from the others.', 'All contestants worked simultaneously in the same space.', 'They had only three minutes to complete their tasks.', 'Success was judged based on different criteria for each task.']","['Strategic', 'Social/Dynamic', 'Time-based', 'Physical']","['Communication skills', 'Strategic thinking', 'Physical dexterity', 'Time management']",Primarily social/strategic,"Group task, but with individual objectives",['Involved strategic communication and decision-making under pressure.'],"Alex served as the task overseer, ensuring rules were followed and the task was executed correctly.",4,5,121,8,7,4,3,9,8,2,5,4_5_121,Taskmaster UK,Bathroom,Inside House,Problem-solving,Mixed,9,8,6,5,9,7,3,2
Throw something into something,"Contestants were instructed to throw something into something else, with the objective being to achieve the most unbelievable throw.",Near the Taskmaster house or in its grounds,"['nuts', 'traffic cone', 'tennis balls', 'racket', 'caravan']","['Create the most unbelievable throw', 'Ten minutes to plan', 'Ten minutes to execute the throw']","['Physical', 'Creativity-based', 'Time-based', 'Outdoor', 'Precision']","['Creativity', 'Precision', 'Planning', 'Physical coordination', 'Improvisation']",Performance-based,Solo,['Involved elements of performance and improvisation'],"Alex Horne acted as the task assistant, providing the instructions and acting as a prop in Mel's throw.",4,5,122,7,8,5,6,8,7,3,6,4_5_122,Taskmaster UK,Garden,Outside House,Physical,Solo,8,9,6,4,7,5,3,6
